"epiweek";"epiyear";"fx_etaria";"Median";"LS";"LI";"LSb";"LIb";"media.movel";"casos.notificados";"DS_UF_SIGLA";"tendencia_3_semanas";"tendencia_6_semanas";"SG_UF_NOT"
1;2022;"0-12";NA;NA;NA;NA;NA;NA;9;"AC";0;-0,5;12
2;2022;"0-12";NA;NA;NA;NA;NA;7;8;"AC";0;-0,5;12
3;2022;"0-12";NA;NA;NA;NA;NA;6;5;"AC";0;-0,5;12
4;2022;"0-12";NA;NA;NA;NA;NA;4;4;"AC";0;-0,5;12
5;2022;"0-12";NA;NA;NA;NA;NA;5;4;"AC";0;-0,5;12
6;2022;"0-12";NA;NA;NA;NA;NA;5;8;"AC";0;-0,5;12
7;2022;"0-12";NA;NA;NA;NA;NA;5;4;"AC";0;-0,5;12
8;2022;"0-12";NA;NA;NA;NA;NA;3;3;"AC";0;-0,5;12
9;2022;"0-12";NA;NA;NA;NA;NA;4;3;"AC";0;-0,5;12
10;2022;"0-12";NA;NA;NA;NA;NA;6;6;"AC";0;-0,5;12
11;2022;"0-12";NA;NA;NA;NA;NA;11;8;"AC";0;-0,5;12
12;2022;"0-12";NA;NA;NA;NA;NA;15;18;"AC";0;-0,5;12
13;2022;"0-12";NA;NA;NA;NA;NA;16;18;"AC";0;-0,5;12
14;2022;"0-12";NA;NA;NA;NA;NA;15;13;"AC";0;-0,5;12
15;2022;"0-12";NA;NA;NA;NA;NA;17;15;"AC";0;-0,5;12
16;2022;"0-12";NA;NA;NA;NA;NA;18;22;"AC";0;-0,5;12
17;2022;"0-12";NA;NA;NA;NA;NA;19;18;"AC";0;-0,5;12
18;2022;"0-12";NA;NA;NA;NA;NA;15;18;"AC";0;-0,5;12
19;2022;"0-12";NA;NA;NA;NA;NA;21;9;"AC";0;-0,5;12
20;2022;"0-12";NA;NA;NA;NA;NA;23;36;"AC";0;-0,5;12
21;2022;"0-12";NA;NA;NA;NA;NA;28;24;"AC";0;-0,5;12
22;2022;"0-12";NA;NA;NA;NA;NA;26;23;"AC";0;-0,5;12
23;2022;"0-12";NA;NA;NA;NA;NA;23;30;"AC";0;-0,5;12
24;2022;"0-12";NA;NA;NA;NA;NA;24;16;"AC";0;-0,5;12
25;2022;"0-12";NA;NA;NA;NA;NA;25;25;"AC";0;-0,5;12
26;2022;"0-12";NA;NA;NA;NA;NA;24;33;"AC";0;-0,5;12
27;2022;"0-12";NA;NA;NA;NA;NA;21;15;"AC";0;-0,5;12
28;2022;"0-12";NA;NA;NA;NA;NA;14;14;"AC";0;-0,5;12
29;2022;"0-12";NA;NA;NA;NA;NA;12;14;"AC";0;-0,5;12
30;2022;"0-12";NA;NA;NA;NA;NA;12;8;"AC";0;-0,5;12
31;2022;"0-12";NA;NA;NA;NA;NA;13;15;"AC";0;-0,5;12
32;2022;"0-12";NA;NA;NA;NA;NA;14;16;"AC";0;-0,5;12
